time|run_time|number of errors|number of sites checked|CE|RT|CT|UK|bad
Wed Feb 10 20:03:16 2016|1.15700006485|0|1|0|0|0|0|0|
Wed Feb 10 20:05:17 2016|1.20699977875|0|1|0|0|0|0|0|
Wed Feb 10 20:07:18 2016|1.22400021553|0|1|0|0|0|0|0|
Wed Feb 10 20:09:19 2016|1.13599991798|0|1|0|0|0|0|0|
Wed Feb 10 20:11:20 2016|1.23099994659|0|1|0|0|0|0|0|
Wed Feb 10 20:13:22 2016|1.20799994469|0|1|0|0|0|0|0|
Wed Feb 10 20:15:23 2016|1.14900016785|0|1|0|0|0|0|0|
Wed Feb 10 20:17:24 2016|1.21099996567|0|1|0|0|0|0|0|
Wed Feb 10 20:19:25 2016|1.06299996376|0|1|0|0|0|0|0|
Wed Feb 10 20:21:26 2016|1.22800016403|0|1|0|0|0|0|0|
Wed Feb 10 20:23:28 2016|1.16499996185|0|1|0|0|0|0|0|
Wed Feb 10 20:25:29 2016|1.16300010681|0|1|0|0|0|0|0|
Wed Feb 10 20:27:30 2016|1.14499998093|0|1|0|0|0|0|0|
Wed Feb 10 20:29:31 2016|1.20500016212|0|1|0|0|0|0|0|
Wed Feb 10 20:31:32 2016|1.2009999752|0|1|0|0|0|0|0|
Wed Feb 10 20:33:34 2016|1.19799995422|0|1|0|0|0|0|0|
Wed Feb 10 20:35:35 2016|0.991999864578|0|1|0|0|0|0|0|
Wed Feb 10 20:37:36 2016|1.15799999237|0|1|0|0|0|0|0|
Wed Feb 10 20:39:37 2016|1.21499991417|0|1|0|0|0|0|0|
Wed Feb 10 20:41:38 2016|1.14599990845|0|1|0|0|0|0|0|
Wed Feb 10 20:43:40 2016|1.19000005722|0|1|0|0|0|0|0|
Wed Feb 10 20:45:41 2016|1.1930000782|0|1|0|0|0|0|0|
Wed Feb 10 20:47:42 2016|1.22899985313|0|1|0|0|0|0|0|
Wed Feb 10 20:49:43 2016|1.20900011063|0|1|0|0|0|0|0|
Wed Feb 10 20:51:44 2016|1.1740000248|0|1|0|0|0|0|0|
Wed Feb 10 20:53:46 2016|1.32399988174|0|1|0|0|0|0|0|
Wed Feb 10 20:55:47 2016|1.16699981689|0|1|0|0|0|0|0|
Wed Feb 10 20:57:48 2016|1.13499999046|0|1|0|0|0|0|0|
Wed Feb 10 20:59:49 2016|1.06999993324|0|1|0|0|0|0|0|
Wed Feb 10 21:01:50 2016|1.03399991989|0|1|0|0|0|0|0|
Wed Feb 10 21:03:51 2016|1.12400007248|0|1|0|0|0|0|0|
Wed Feb 10 21:05:53 2016|1.23000001907|0|1|0|0|0|0|0|
Wed Feb 10 21:07:54 2016|1.1130001545|0|1|0|0|0|0|0|
Wed Feb 10 21:09:55 2016|1.15799999237|0|1|0|0|0|0|0|
Wed Feb 10 21:11:56 2016|1.17999982834|0|1|0|0|0|0|0|
Wed Feb 10 21:13:57 2016|1.15199995041|0|1|0|0|0|0|0|
Wed Feb 10 21:15:59 2016|1.13800001144|0|1|0|0|0|0|0|
Wed Feb 10 21:18:00 2016|1.1850001812|0|1|0|0|0|0|0|
Wed Feb 10 21:20:01 2016|1.27200007439|0|1|0|0|0|0|0|
Wed Feb 10 21:22:02 2016|1.28100013733|0|1|0|0|0|0|0|
Wed Feb 10 21:24:04 2016|1.26200008392|0|1|0|0|0|0|0|
Wed Feb 10 21:26:05 2016|1.3149998188|0|1|0|0|0|0|0|
Wed Feb 10 21:28:06 2016|1.18400001526|0|1|0|0|0|0|0|
Wed Feb 10 21:30:07 2016|1.15699982643|0|1|0|0|0|0|0|
Wed Feb 10 21:32:09 2016|1.20700001717|0|1|0|0|0|0|0|
